chrom	position	strand	name	group_id	score	score_extended	FDR
chr21	9464273	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9496817	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9499771	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9586674	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9657082	-	not_annotated	not_annotated	1	not_calculated	1
chr21	9658992	-	not_annotated	not_annotated	1	not_calculated	1
chr21	9659583	-	not_annotated	not_annotated	1	not_calculated	1
chr21	9660304	+	AC124864.2	ENSG00000286103.1	1	1	1
chr21	9827109	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9827246	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9836471	+	not_annotated	not_annotated	1	not_calculated	1
chr21	9900908	-	not_annotated	not_annotated	1	not_calculated	1
chr21	9981386	-	CR382285.1	ENSG00000270533.2	1	1	1
chr21	10014944	-	CR382285.1	ENSG00000270533.2	1	1	1
chr21	10026513	-	CR382285.1	ENSG00000270533.2	1	1	1
chr21	10100796	+	not_annotated	not_annotated	1	not_calculated	1
chr21	10106302	+	not_annotated	not_annotated	1	not_calculated	1
chr21	10175862	-	not_annotated	not_annotated	1	not_calculated	1
chr21	10176587	+	not_annotated	not_annotated	1	not_calculated	1
chr21	10197968	-	not_annotated	not_annotated	1	not_calculated	1
chr21	10563763	-	not_annotated	not_annotated	1	not_calculated	1
chr21	10708346	+	not_annotated	not_annotated	2	not_calculated	1
chr21	10737066	-	not_annotated	not_annotated	1	not_calculated	1
chr21	10900729	+	not_annotated	not_annotated	1	not_calculated	1
chr21	10983286	-	not_annotated	not_annotated	1	not_calculated	1
chr21	11152218	+	not_annotated	not_annotated	1	not_calculated	1
chr21	14406627	-	not_annotated	not_annotated	1	not_calculated	1
chr21	14461714	-	not_annotated	not_annotated	1	not_calculated	1
chr21	14507300	+	not_annotated	not_annotated	1	not_calculated	1
chr21	14567908	+	not_annotated	not_annotated	1	not_calculated	1
chr21	14568826	+	not_annotated	not_annotated	1	not_calculated	1
chr21	14707565	-	AF127936.1	ENSG00000232884.9	1	1	1
chr21	14814043	-	not_annotated	not_annotated	1	not_calculated	1
chr21	14993921	+	not_annotated	not_annotated	1	not_calculated	1
chr21	15116514	+	not_annotated	not_annotated	1	not_calculated	1
chr21	15155232	+	not_annotated	not_annotated	1	not_calculated	1
chr21	15249690	-	not_annotated	not_annotated	1	not_calculated	1
chr21	15269234	-	AF130248.1	ENSG00000288578.1	1	1	1
chr21	15457157	-	AJ009632.2	ENSG00000229425.3	1	1	1
chr21	15519106	+	not_annotated	not_annotated	1	not_calculated	1
chr21	15996667	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16150584	-	not_annotated	not_annotated	1	not_calculated	1
chr21	16177278	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16189988	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16306536	-	AP001172.1	ENSG00000270071.3	1	1	1
chr21	16310200	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16311269	-	not_annotated	not_annotated	1	not_calculated	1
chr21	16366613	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16554189	-	not_annotated	not_annotated	1	not_calculated	1
chr21	16599478	+	MIR99AHG	ENSG00000215386.13	1	1	1
chr21	16953860	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17159717	+	not_annotated	not_annotated	1	not_calculated	1
chr21	17274965	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17291500	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17294050	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17501913	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17520508	+	CXADR	ENSG00000154639.19	1	1	1
chr21	17525608	-	not_annotated	not_annotated	2	not_calculated	1
chr21	17613106	+	BTG3-AS1	ENSG00000280594.1	1	1	1
chr21	17646141	-	not_annotated	not_annotated	1	not_calculated	1
chr21	17740316	+	not_annotated	not_annotated	1	not_calculated	1
chr21	17772138	+	not_annotated	not_annotated	3	not_calculated	1
chr21	17775599	-	C21orf91-OT1	ENSG00000240770.5	1	1	1
chr21	17812812	+	not_annotated	not_annotated	1	not_calculated	1
chr21	17829688	+	not_annotated	not_annotated	2	not_calculated	1
chr21	18023566	-	AF130417.1	ENSG00000227330.1	1	1	1
chr21	18055179	+	CHODL	ENSG00000154645.14	2	2	0.010115
chr21	18082579	+	CHODL	ENSG00000154645.14	1	1	1
chr21	18086794	+	CHODL	ENSG00000154645.14	1	1	1
chr21	18091317	+	CHODL	ENSG00000154645.14	95	101	0
chr21	18091319	+	CHODL	ENSG00000154645.14	1	115	0
chr21	18091320	+	CHODL	ENSG00000154645.14	5	118	0
chr21	18091321	+	CHODL	ENSG00000154645.14	9	25	0
chr21	18091322	+	CHODL	ENSG00000154645.14	5	25	0
chr21	18091323	+	CHODL	ENSG00000154645.14	3	25	0
chr21	18091324	+	CHODL	ENSG00000154645.14	2	20	0
chr21	18091326	+	CHODL	ENSG00000154645.14	1	9	0
chr21	18091329	+	CHODL	ENSG00000154645.14	3	4	0
chr21	18091335	+	CHODL	ENSG00000154645.14	15	22	0
chr21	18091336	+	CHODL	ENSG00000154645.14	6	43	0
